阿爸 a1/ba4
重奖 zhong4/jiang3
重扣 zhong4/kou4
重力 zhong4/li4
重量 zhong4/liang4
重码 zhong4/ma3
重氢 zhong4/qing1
重庆 zhong4/qing4
重任 zhong4/ren4
重伤 zhong4/shang1
重赏 zhong4/shang3
重申 zhong4/shen1
重视 zhong4/shi4
重托 zhong4/tuo1
重围 zhong4/wei2
重温 zhong4/wen1
重物 zhong4/wu4
重现 zhong4/xian4
重像 zhong4/xiang4
重心 zhong4/xin1
重新 zhong4/xin1
重型 zhong4/xing2
重演 zhong4/yan3
重要 zhong4/yao4
重印 zhong4/yin4
重用 zhong4/yong4
重油 zhong4/you2
重振 zhong4/zhen4
重镇 zhong4/zhen4
重整 zhong4/zheng3
重重 zhong4/zhong4
重奏 zhong4/zou4
重组 zhong4/zu3
州长 zhou1/zhang3
舟山 zhou1/shan1
周报 zhou1/bao4
周边 zhou1/bian1
周长 zhou1/zhang3
周到 zhou1/dao4
周刊 zhou1/kan1
周口 zhou1/kou3
周密 zhou1/mi4
周末 zhou1/mo4
周年 zhou1/nian2
周期 zhou1/qi1
周全 zhou1/quan2
周岁 zhou1/sui4
周围 zhou1/wei2
周详 zhou1/xiang2
周旋 zhou1/xuan2
周游 zhou1/you2
周折 zhou1/zhe2
周知 zhou1/zhi1
周转 zhou1/zhuan3
轴承 zhou2/cheng2
轴套 zhou2/tao4
轴瓦 zhou2/wa3
轴线 zhou2/xian4
轴箱 zhou2/xiang1
轴心 zhou2/xin1
咒骂 zhou4/ma4
昼夜 zhou4/ye4
皱纹 zhou4/wen2
骤然 zhou4/ran2
朱德 zhu1/de2
株连 zhu1/lian2
株洲 zhu1/zhou1
珠宝 zhu1/bao3
珠海 zhu1/hai3
珠江 zhu1/jiang1
珠算 zhu1/suan4
诸多 zhu1/duo1
诸侯 zhu1/hou2
诸如 zhu1/ru2
诸位 zhu1/wei4
诸子 zhu1/zi
猪肉 zhu1/rou4
猪油 zhu1/you2
烛光 zhu2/guang1
逐步 zhu2/bu4
逐次 zhu2/ci4
逐个 zhu2/ge4
逐级 zhu2/ji2
逐渐 zhu2/jian4
逐年 zhu2/nian2
逐日 zhu2/ri4
逐条 zhu2/tiao2
逐一 zhu2/yi1
逐月 zhu2/yue4
逐字 zhu2/zi4
主板 zhu3/ban3
主办 zhu3/ban4
主笔 zhu3/bi3
主编 zhu3/bian1
主持 zhu3/chi2
主次 zhu3/ci4
主从 zhu3/cong2
主导 zhu3/dao3
主动 zhu3/dong4
主队 zhu3/dui4
主阀 zhu3/fa2
主犯 zhu3/fan4
主峰 zhu3/feng1
主妇 zhu3/fu4
主干 zhu3/gan4
主根 zhu3/gen1
主攻 zhu3/gong1
主顾 zhu3/gu4
主观 zhu3/guan1
主管 zhu3/guan3
主婚 zhu3/hun1
主机 zhu3/ji1
主祭 zhu3/ji4
主见 zhu3/jian4
主将 zhu3/jiang1
主讲 zhu3/jiang3
主角 zhu3/jiao3
主教 zhu3/jiao4
主考 zhu3/kao3
主课 zhu3/ke4
主力 zhu3/li4
主粮 zhu3/liang2
主流 zhu3/liu2
主谋 zhu3/mou2
主牌 zhu3/pai2
主权 zhu3/quan2
主人 zhu3/ren2
主任 zhu3/ren4
主食 zhu3/shi2
主使 zhu3/shi3
主帅 zhu3/shuai4
主送 zhu3/song4
主题 zhu3/ti2
主体 zhu3/ti3
主席 zhu3/xi2
主演 zhu3/yan3
主要 zhu3/yao4
主义 zhu3/yi4
主意 zhu3/yi4
主音 zhu3/yin1
主宰 zhu3/zai3
主张 zhu3/zhang1
主枝 zhu3/zhi1
主治 zhu3/zhi4
主轴 zhu3/zhou2
主抓 zhu3/zhua1
属实 shu3/shi2
属相 shu3/xiang1
属性 shu3/xing4
属于 shu3/yu2
煮沸 zhu3/fei4
煮茧 zhu3/jian3
嘱咐 zhu3/fu4
嘱托 zhu3/tuo1
瞩目 zhu3/mu4
住处 zhu4/chu4
住地 zhu4/de
住房 zhu4/fang2
住户 zhu4/hu4
住家 zhu4/jia1
住宿 zhu4/su4
住院 zhu4/yuan4
住宅 zhu4/zhai2
住址 zhu4/zhi3
助长 zhu4/zhang3
助工 zhu4/gong1
助教 zhu4/jiao4
助理 zhu4/li3
助跑 zhu4/pao3
助燃 zhu4/ran2
助手 zhu4/shou3
助威 zhu4/wei1
助兴 zhu4/xing4
助研 zhu4/yan2
注册 zhu4/ce4
注定 zhu4/ding4
注解 zhu4/jie3
注明 zhu4/ming2
注目 zhu4/mu4
注入 zhu4/ru4
注色 zhu4/se4
注射 zhu4/she4
注视 zhu4/shi4
注释 zhu4/shi4
注销 zhu4/xiao1
注意 zhu4/yi4
注重 zhu4/zhong4
贮备 zhu4/bei4
贮藏 zhu4/cang2
贮存 zhu4/cun2
驻地 zhu4/de
驻防 zhu4/fang2
驻华 zhu4/hua2
驻京 zhu4/jing1
驻军 zhu4/jun1
驻留 zhu4/liu2
驻守 zhu4/shou3
驻外 zhu4/wai4
驻扎 zhu4/zha1
柱石 zhu4/shi2
柱子 zhu4/zi
祝福 zhu4/fu2
祝贺 zhu4/he4
祝酒 zhu4/jiu3
祝寿 zhu4/shou4
祝愿 zhu4/yuan4
著称 zhe/cheng1
著名 zhe/ming2
著书 zhe/shu1
著述 zhe/shu4
著者 zhe/zhe3
著作 zhe/zuo4
筑路 zhu4/lu4
铸锭 zhu4/ding4
铸钢 zhu4/gang1
铸件 zhu4/jian4
铸铁 zhu4/tie3
铸型 zhu4/xing2
铸造 zhu4/zao4
抓捕 zhua1/bu3
抓好 zhua1/hao3
抓获 zhua1/huo4
抓紧 zhua1/jin3
抓住 zhua1/zhu4
爪牙 zhao3/ya2
爪子 zhao3/zi
专案 zhuan1/an4
专长 zhuan1/zhang3
专场 zhuan1/chang3
专程 zhuan1/cheng2
专电 zhuan1/dian4
专发 zhuan1/fa1
专访 zhuan1/fang3
专供 zhuan1/gong1
专管 zhuan1/guan3
专柜 zhuan1/gui4
专横 zhuan1/heng2
专机 zhuan1/ji1
专集 zhuan1/ji2
专辑 zhuan1/ji2
专家 zhuan1/jia1
专刊 zhuan1/kan1
专科 zhuan1/ke1
专款 zhuan1/kuan3
专栏 zhuan1/lan2
专利 zhuan1/li4
专卖 zhuan1/mai4
专门 zhuan1/men2
专区 zhuan1/qu1
专人 zhuan1/ren2
专署 zhuan1/shu3
专题 zhuan1/ti2
专线 zhuan1/xian4
专项 zhuan1/xiang4
专心 zhuan1/xin1
专修 zhuan1/xiu1
专讯 zhuan1/xun4
专业 zhuan1/ye4
专一 zhuan1/yi1
专营 zhuan1/ying2
专用 zhuan1/yong4
专员 zhuan1/yuan2
专责 zhuan1/ze2
专政 zhuan1/zheng4
专职 zhuan1/zhi2
专制 zhuan1/zhi4
专注 zhuan1/zhu4
专著 zhuan1/zhe
转变 zhuan3/bian4
转播 zhuan3/bo1
转产 zhuan3/chan3
转达 zhuan3/da2
转动 zhuan3/dong4
转而 zhuan3/er2
转发 zhuan3/fa1
转告 zhuan3/gao4
转给 zhuan3/gei3
转化 zhuan3/hua4
转换 zhuan3/huan4
转机 zhuan3/ji1
转嫁 zhuan3/jia4
转交 zhuan3/jiao1
转口 zhuan3/kou3
转炉 zhuan3/lu2
转录 zhuan3/lu4
转卖 zhuan3/mai4
转让 zhuan3/rang4
转入 zhuan3/ru4
转身 zhuan3/shen1
转手 zhuan3/shou3
转瞬 zhuan3/shun4
转送 zhuan3/song4
转速 zhuan3/su4
转弯 zhuan3/wan1
转为 zhuan3/wei4
转向 zhuan3/xiang4
转眼 zhuan3/yan3
转业 zhuan3/ye4
转移 zhuan3/yi2
转运 zhuan3/yun4
转载 zhuan3/zai4
转帐 zhuan3/zhang4
转折 zhuan3/zhe2
转正 zhuan3/zheng4
转轴 zhuan3/zhou2
转子 zhuan3/zi
赚钱 zhuan4/qian2
赚取 zhuan4/qu3
赚头 zhuan4/tou2
撰稿 zhuan4/gao3
撰文 zhuan4/wen2
撰写 zhuan4/xie3
庄嫁 zhuang1/jia4
庄稼 zhuang1/jia4
庄严 zhuang1/yan2
庄园 zhuang1/yuan2
庄重 zhuang1/zhong4
庄子 zhuang1/zi
装扮 zhuang1/ban4
装备 zhuang1/bei4
装车 zhuang1/che1
装船 zhuang1/chuan2
装订 zhuang1/ding4
装货 zhuang1/huo4
装机 zhuang1/ji1
装甲 zhuang1/jia3
装进 zhuang1/jin4
装料 zhuang1/liao4
装配 zhuang1/pei4
装入 zhuang1/ru4
装饰 zhuang1/shi4
装束 zhuang1/shu4
装箱 zhuang1/xiang1
装卸 zhuang1/xie4
装修 zhuang1/xiu1
装有 zhuang1/you3
装运 zhuang1/yun4
装载 zhuang1/zai4
装置 zhuang1/zhi4
壮大 zhuang4/da4
壮胆 zhuang4/dan3
壮观 zhuang4/guan1
壮举 zhuang4/ju3
壮阔 zhuang4/kuo4
壮丽 zhuang4/li4
壮烈 zhuang4/lie4
壮苗 zhuang4/miao2
壮年 zhuang4/nian2
壮实 zhuang4/shi2
壮志 zhuang4/zhi4
壮族 zhuang4/zu2
状况 zhuang4/kuang4
状态 zhuang4/tai4
状元 zhuang4/yuan2
撞车 zhuang4/che1
撞坏 zhuang4/huai4
撞击 zhuang4/ji1
撞礁 zhuang4/jiao1
撞伤 zhuang4/shang1
追捕 zhui1/bu3
追查 zhui1/cha2
追悼 zhui1/dao4
追肥 zhui1/fei2
追赶 zhui1/gan3
追回 zhui1/hui2
追击 zhui1/ji1
追记 zhui1/ji4
追加 zhui1/jia1
追缴 zhui1/jiao3
追究 zhui1/jiu1
追求 zhui1/qiu2
追认 zhui1/ren4
追授 zhui1/shou4
追述 zhui1/shu4
追溯 zhui1/su4
追随 zhui1/sui2
追问 zhui1/wen4
追寻 zhui1/xun2
追忆 zhui1/yi4
追逐 zhui1/zhu2
追踪 zhui1/zong1
锥形 zhui1/xing2
坠地 zhui4/de
坠毁 zhui4/hui3
坠落 zhui4/luo4
赘述 zhui4/shu4
准保 zhun3/bao3
准备 zhun3/bei4
准确 zhun3/que4
准绳 zhun3/sheng2
准时 zhun3/shi2
准许 zhun3/xu3
准予 zhun3/yu3
准则 zhun3/ze2
卓绝 zhuo1/jue2
卓识 zhuo1/shi4
卓有 zhuo1/you3
卓越 zhuo1/yue4
卓著 zhuo1/zhe
拙劣 zhuo1/lie4
拙著 zhuo1/zhe
捉摸 zhuo1/mo1
捉拿 zhuo1/na2
捉弄 zhuo1/nong4
捉住 zhuo1/zhu4
桌面 zhuo1/mian4
桌椅 zhuo1/yi3
桌子 zhuo1/zi
灼热 zhuo2/re4
灼伤 zhuo2/shang1
茁壮 zhuo2/zhuang4
酌定 zhuo2/ding4
酌量 zhuo2/liang4
酌情 zhuo2/qing2
着儿 zhe/er2
着慌 zhe/huang1
着火 zhe/huo3
着急 zhe/ji2
着力 zhe/li4
着凉 zhe/liang2
着陆 zhe/lu4
着落 zhe/luo4
着迷 zhe/mi2
着魔 zhe/mo2
着色 zhe/se4
着实 zhe/shi2
着手 zhe/shou3
着想 zhe/xiang3
着眼 zhe/yan3
着意 zhe/yi4
着重 zhe/zhong4
着装 zhe/zhuang1
琢磨 zuo2/mo2
仔细 zai3/xi4
兹将 zi1/jiang1
兹有 zi1/you3
咨询 zi1/xun2
姿势 zi1/shi4
姿态 zi1/tai4
资本 zi1/ben3
资财 zi1/cai2
资产 zi1/chan3
资格 zi1/ge2
资金 zi1/jin1
资历 zi1/li4
资料 zi1/liao4
资讯 zi1/xun4
资源 zi1/yuan2
资助 zi1/zhu4
淄博 zi1/bo2
滋补 zi1/bu3
滋长 zi1/zhang3
滋扰 zi1/rao3
滋润 zi1/run4
滋生 zi1/sheng1
滋事 zi1/shi4
滋味 zi1/wei4
滋养 zi1/yang3
子弹 zi/dan4
子弟 zi/di4
子房 zi/fang2
子宫 zi/gong1
子粒 zi/li4
子女 zi/nv3
子孙 zi/sun1
姊妹 zi3/mei4
紫荆 zi3/jing1
紫色 zi3/se4
字表 zi4/biao3
字词 zi4/ci2
字典 zi4/dian3
字符 zi4/fu2
字根 zi4/gen1
字海 zi4/hai3
字号 zi4/hao4
字迹 zi4/ji1
字节 zi4/jie2
字句 zi4/ju4
字据 zi4/ju4
字库 zi4/ku4
字母 zi4/mu3
字幕 zi4/mu4
字体 zi4/ti3
字帖 zi4/tie1
字形 zi4/xing2
字型 zi4/xing2
字眼 zi4/yan3
字样 zi4/yang4
字义 zi4/yi4
字音 zi4/yin1
自爱 zi4/ai4
自白 zi4/bai2
自办 zi4/ban4
自卑 zi4/bei1
自备 zi4/bei4
自编 zi4/bian1
自称 zi4/cheng1
自持 zi4/chi2
自筹 zi4/chou2
自传 zi4/chuan2
自从 zi4/cong2
自大 zi4/da4
自定 zi4/ding4
自动 zi4/dong4
自发 zi4/fa1
自费 zi4/fei4
自封 zi4/feng1
自负 zi4/fu4
自给 zi4/gei3
自贡 zi4/gong4
自豪 zi4/hao2
自己 zi4/ji3
自家 zi4/jia1
自荐 zi4/jian4
自救 zi4/jiu4
自居 zi4/ju1
自决 zi4/jue2
自觉 zi4/jue2
自控 zi4/kong4
自夸 zi4/kua1
自理 zi4/li3
自力 zi4/li4
自立 zi4/li4
自流 zi4/liu2
自满 zi4/man3
自勉 zi4/mian3
自强 zi4/qiang2
自然 zi4/ran2
自如 zi4/ru2
自杀 zi4/sha1
自身 zi4/shen1
自恃 zi4/shi4
自首 zi4/shou3
自述 zi4/shu4
自私 zi4/si1
自卫 zi4/wei4
自慰 zi4/wei4
自问 zi4/wen4
自我 zi4/wo3
自习 zi4/xi2
自销 zi4/xiao1
自新 zi4/xin1
自信 zi4/xin4
自行 zi4/xing2
自修 zi4/xiu1
自叙 zi4/xu4
自选 zi4/xuan3
自学 zi4/xue2
自营 zi4/ying2
自用 zi4/yong4
自由 zi4/you2
自幼 zi4/you4
自语 zi4/yu3
自愿 zi4/yuan4
自在 zi4/zai4
自找 zi4/zhao3
自知 zi4/zhi1
自制 zi4/zhi4
自治 zi4/zhi4
自重 zi4/zhong4
自主 zi4/zhu3
自转 zi4/zhuan3
自足 zi4/zu2
自尊 zi4/zun1
恣意 zi4/yi4
宗法 zong1/fa3
宗教 zong1/jiao4
宗派 zong1/pai4
宗旨 zong1/zhi3
综观 zong1/guan1
综合 zong1/he2
综述 zong1/shu4
棕色 zong1/se4
踪迹 zong1/ji1
踪影 zong1/ying3
总部 zong3/bu4
总裁 zong3/cai2
总参 zong3/can1
总产 zong3/chan3
总长 zong3/zhang3
总厂 zong3/chang3
总称 zong3/cheng1
总成 zong3/cheng2
总得 zong3/de2
总督 zong3/du1
总队 zong3/dui4
总额 zong3/e2
总分 zong3/fen1
总纲 zong3/gang1
总工 zong3/gong1
总共 zong3/gong4
总管 zong3/guan3
总归 zong3/gui1
总和 zong3/he2
总后 zong3/hou4
总机 zong3/ji1
总计 zong3/ji4
总结 zong3/jie2
总局 zong3/ju2
总括 zong3/kuo4
总理 zong3/li3
总量 zong3/liang4
总论 zong3/lun4
总能 zong3/neng2
总评 zong3/ping2
总是 zong3/shi4
总数 zong3/shu4
总算 zong3/suan4
总体 zong3/ti3
总统 zong3/tong3
总务 zong3/wu4
总线 zong3/xian4
总行 zong3/xing2
总要 zong3/yao4
总则 zong3/ze2
总站 zong3/zhan4
总帐 zong3/zhang4
总政 zong3/zheng4
总之 zong3/zhi1
总支 zong3/zhi1
总值 zong3/zhi2
总装 zong3/zhuang1
纵波 zong4/bo1
纵队 zong4/dui4
纵观 zong4/guan1
纵贯 zong4/guan4
纵横 zong4/heng2
纵览 zong4/lan3
纵论 zong4/lun4
纵情 zong4/qing2
纵然 zong4/ran2
纵容 zong4/rong2
纵深 zong4/shen1
纵使 zong4/shi3
纵谈 zong4/tan2
纵向 zong4/xiang4
邹虹 zou1/hong2
走遍 zou3/bian4
走出 zou3/chu1
走道 zou3/dao4
走动 zou3/dong4
走访 zou3/fang3
走狗 zou3/gou3
走过 zou3/guo4
走红 zou3/hong2
走进 zou3/jin4
走开 zou3/kai1
走廊 zou3/lang2
走漏 zou3/lou4
走路 zou3/lu4
走俏 zou3/qiao4
走上 zou3/shang4
走水 zou3/shui3
走私 zou3/si1
走向 zou3/xiang4
走样 zou3/yang4
走运 zou3/yun4
走卒 zou3/zu2
奏效 zou4/xiao4
租界 zu1/jie4
租借 zu1/jie4
租金 zu1/jin1
租赁 zu1/lin4
租用 zu1/yong4
足够 zu2/gou4
足迹 zu2/ji1
足见 zu2/jian4
足球 zu2/qiu2
足坛 zu2/tan2
足下 zu2/xia4
足以 zu2/yi3
族人 zu2/ren2
诅咒 zu3/zhou4
阻碍 zu3/ai4
阻挡 zu3/dang3
阻隔 zu3/ge2
阻击 zu3/ji1
阻截 zu3/jie2
阻抗 zu3/kang4
阻拦 zu3/lan2
阻力 zu3/li4
阻挠 zu3/nao2
阻尼 zu3/ni2
阻塞 zu3/sai1
阻险 zu3/xian3
阻值 zu3/zhi2
阻止 zu3/zhi3
组胺 zu3/an4
组长 zu3/zhang3
组成 zu3/cheng2
组阁 zu3/ge2
组合 zu3/he2
组建 zu3/jian4
组配 zu3/pei4
组团 zu3/tuan2
组员 zu3/yuan2
组织 zu3/zhi1
组装 zu3/zhuang1
祖辈 zu3/bei4
祖传 zu3/chuan2
祖父 zu3/fu4
祖国 zu3/guo2
祖籍 zu3/ji2
祖母 zu3/mu3
祖上 zu3/shang4
祖师 zu3/shi1
祖先 zu3/xian1
祖宗 zu3/zong1
钻井 zuan1/jing3
钻石 zuan1/shi2
钻探 zuan1/tan4
钻头 zuan1/tou2
钻研 zuan1/yan2
钻营 zuan1/ying2
嘴巴 zui3/ba1
嘴唇 zui3/chun2
嘴脸 zui3/lian3
最矮 zui4/ai3
最长 zui4/zhang3
最迟 zui4/chi2
最丑 zui4/chou3
最初 zui4/chu1
最大 zui4/da4
最低 zui4/di1
最短 zui4/duan3
最多 zui4/duo1
最高 zui4/gao1
最好 zui4/hao3
最后 zui4/hou4
最坏 zui4/huai4
最佳 zui4/jia1
最近 zui4/jin4
最快 zui4/kuai4
最灵 zui4/ling2
最慢 zui4/man4
最美 zui4/mei3
最能 zui4/neng2
最前 zui4/qian2
最浅 zui4/qian3
最巧 zui4/qiao3
最上 zui4/shang4
最少 zui4/shao3
最深 zui4/shen1
最为 zui4/wei4
最下 zui4/xia4
最先 zui4/xian1
最小 zui4/xiao3
最新 zui4/xin1
最右 zui4/you4
最早 zui4/zao3
最终 zui4/zhong1
最最 zui4/zui4
最左 zui4/zuo3
罪恶 zui4/e4
罪犯 zui4/fan4
罪过 zui4/guo4
罪魁 zui4/kui2
罪名 zui4/ming2
罪孽 zui4/nie4
罪人 zui4/ren2
罪行 zui4/xing2
罪责 zui4/ze2
罪证 zui4/zheng4
罪状 zui4/zhuang4
醉心 zui4/xin1
尊长 zun1/zhang3
尊称 zun1/cheng1
尊贵 zun1/gui4
尊敬 zun1/jing4
尊师 zun1/shi1
尊严 zun1/yan2
尊重 zun1/zhong4
遵从 zun1/cong2
遵命 zun1/ming4
遵守 zun1/shou3
遵循 zun1/xun2
遵照 zun1/zhao4
昨日 zuo2/ri4
昨天 zuo2/tian1
昨晚 zuo2/wan3
昨夜 zuo2/ye4
左边 zuo3/bian1
左侧 zuo3/ce4
左面 zuo3/mian4
左派 zuo3/pai4
左倾 zuo3/qing1
左手 zuo3/shou3
左翼 zuo3/yi4
左右 zuo3/you4
佐证 zuo3/zheng4
作案 zuo4/an4
作弊 zuo4/bi4
作成 zuo4/cheng2
作出 zuo4/chu1
作到 zuo4/dao4
作法 zuo4/fa3
作废 zuo4/fei4
作风 zuo4/feng1
作怪 zuo4/guai4
作画 zuo4/hua4
作家 zuo4/jia1
作价 zuo4/jia4
作假 zuo4/jia3
作客 zuo4/ke4
作乐 zuo4/le4
作了 zuo4/le
作乱 zuo4/luan4
作品 zuo4/pin3
作曲 zuo4/qu1
作祟 zuo4/sui4
作为 zuo4/wei4
作文 zuo4/wen2
作物 zuo4/wu4
作息 zuo4/xi1
作些 zuo4/xie1
作协 zuo4/xie2
作秀 zuo4/xiu4
作业 zuo4/ye4
作用 zuo4/yong4
作战 zuo4/zhan4
作者 zuo4/zhe3
作证 zuo4/zheng4
作主 zuo4/zhu3
坐标 zuo4/biao1
坐等 zuo4/deng3
坐落 zuo4/luo4
坐视 zuo4/shi4
坐位 zuo4/wei4
坐下 zuo4/xia4
座次 zuo4/ci4
座谈 zuo4/tan2
座位 zuo4/wei4
做成 zuo4/cheng2
做出 zuo4/chu1
做到 zuo4/dao4
做法 zuo4/fa3
做饭 zuo4/fan4
做工 zuo4/gong1
做功 zuo4/gong1
做官 zuo4/guan1
做好 zuo4/hao3
做客 zuo4/ke4
做了 zuo4/le
做梦 zuo4/meng4
做人 zuo4/ren2
做声 zuo4/sheng1
做事 zuo4/shi4
做些 zuo4/xie1
做主 zuo4/zhu3
做作
阿富汗 zuo4/zuo4/a1/fu4/han4
阿根廷 a1/gen1/ting2
阿拉伯 a1/la1/bo2
埃菲社 ai1/fei1/she4
癌细胞 ai2/xi4/bao1
艾滋病 ai4/zi1/bing4
爱国心 ai4/guo2/xin1
爱国者 ai4/guo2/zhe3
爱好者 ai4/hao3/zhe3
爱科学 ai4/ke1/xue2
爱劳动 ai4/lao2/dong4
爱面子 ai4/mian4/zi
爱人民 ai4/ren2/min2
爱学习 ai4/xue2/xi2
爱滋病 ai4/zi1/bing4
爱祖国 ai4/zu3/guo2
安哥拉 an1/ge1/la1
安徽省 an1/hui1/sheng3
安家费 an1/jia1/fei4
安乐死 an1/le4/si3
安乐窝 an1/le4/wo1
安理会 an1/li3/hui4
安全带 an1/quan2/dai4
安全阀 an1/quan2/fa2
安全感 an1/quan2/gan3
安全局 an1/quan2/ju2
安全帽 an1/quan2/mao4
安全区 an1/quan2/qu1
安全性 an1/quan2/xing4
氨基酸 an1/ji1/suan1
氨碱法 an1/jian3/fa3
按比例 an4/bi3/li4
按惯例 an4/guan4/li4
按规定 an4/gui1/ding4
按计划 an4/ji4/hua4
按键式 an4/jian4/shi4
按理说 an4/li3/shuo1
按钮式 an4/niu3/shi4
暗地里 an4/de/li3
凹面镜 ao1/mian4/jing4
凹透镜 ao1/tou4/jing4
奥地利 ao4/de/li4
奥委会 ao4/wei3/hui4
奥运会 ao4/yun4/hui4
澳门元 ao4/men2/yuan2
八宝山 ba1/bao3/shan1
八达岭 ba1/da2/ling3
八进制 ba1/jin4/zhi4
八路军 ba1/lu4/jun1
八小时 ba1/xiao3/shi2
八一队 ba1/yi1/dui4
八月份 ba1/yue4/fen4
巴不得 ba1/bu4/de2
巴格达 ba1/ge2/da2
巴拿马 ba1/na2/ma3
芭蕾舞 ba1/lei3/wu3
白茫茫 bai2/mang2/mang2
白热化 bai2/re4/hua4
白细胞 bai2/xi4/bao1
百多吨 bai3/duo1/dun1
百分比 bai3/fen1/bi3
百分点 bai3/fen1/dian3
百分率 bai3/fen1/lv4
百分数 bai3/fen1/shu4
百分之 bai3/fen1/zhi1
百分制 bai3/fen1/zhi4
百慕大 bai3/mu4/da4
摆阔气 bai3/kuo4/qi4
摆事实 bai3/shi4/shi2
班务会 ban1/wu4/hui4
班主任 ban1/zhu3/ren4
班组长 ban1/zu3/zhang3
办不成 ban4/bu4/cheng2
办不到 ban4/bu4/dao4
办得到 ban4/de2/dao4
办公费 ban4/gong1/fei4
办公楼 ban4/gong1/lou2
办公室 ban4/gong1/shi4
办公厅 ban4/gong1/ting1
办公桌 ban4/gong1/zhuo1
办实事 ban4/shi2/shi4
办事处 ban4/shi4/chu4
办事员 ban4/shi4/yuan2
半辈子 ban4/bei4/zi
半边天 ban4/bian1/tian1
半成品 ban4/cheng2/pin3
半导体 ban4/dao3/ti3
半封建 ban4/feng1/jian4
半决赛 ban4/jue2/sai4
半脱产 ban4/tuo1/chan3
半文盲 ban4/wen2/mang2
半月刊 ban4/yue4/kan1
半月谈 ban4/yue4/tan2
半自动 ban4/zi4/dong4
绊脚石 ban4/jiao3/shi2
包干制 bao1/gan4/zhi4
包工队 bao1/gong1/dui4
包装费 bao1/zhuang1/fei4
包装箱 bao1/zhuang1/xiang1
孢子囊 bao1/zi/nang2
保持者 bao3/chi2/zhe3
保持着 bao3/chi2/zhe
保存期 bao3/cun2/qi1
保管员 bao3/guan3/yuan2
保护层 bao3/hu4/ceng2
保护国 bao3/hu4/guo2
保护区 bao3/hu4/qu1
保护人 bao3/hu4/ren2
保护网 bao3/hu4/wang3
保龄球 bao3/ling2/qiu2
保密锁 bao3/mi4/suo3
保守党 bao3/shou3/dang3
保守派 bao3/shou3/pai4
保税区 bao3/shui4/qu1
保卫科 bao3/wei4/ke1
保卫者 bao3/wei4/zhe3
保温瓶 bao3/wen1/ping2
保险单 bao3/xian3/dan1
保险费 bao3/xian3/fei4
保险柜 bao3/xian3/gui4
保险金 bao3/xian3/jin1
保险期 bao3/xian3/qi1
保险业 bao3/xian3/ye4
保修期 bao3/xiu1/qi1
保育员 bao3/yu4/yuan2
保育院 bao3/yu4/yuan4
保证金 bao3/zheng4/jin1
保证书 bao3/zheng4/shu1
报道说 bao4/dao4/shuo1
报复性 bao4/fu4/xing4
报告会 bao4/gao4/hui4
报告团 bao4/gao4/tuan2
报务员 bao4/wu4/yuan2
暴发户 bao4/fa1/hu4
暴风雪 bao4/feng1/xue3
暴风雨 bao4/feng1/yu3
爆冷门 bao4/leng3/men2
爆炸性 bao4/zha4/xing4
北冰洋 bei3/bing1/yang2
北戴河 bei3/dai4/he2
北极光 bei3/ji2/guang1
北极圈 bei3/ji2/quan1
北极星 bei3/ji2/xing1
北京人 bei3/jing1/ren2
北京市 bei3/jing1/shi4
北京站 bei3/jing1/zhan4
备忘录 bei4/wang4/lu4
备用金 bei4/yong4/jin1
背包袱 bei4/bao1/fu2
背地里 bei4/de/li3
背对背 bei4/dui4/bei4
被剥削 bei4/bo1/xue1
被称为 bei4/cheng1/wei4
被称作 bei4/cheng1/zuo4
被乘数 bei4/cheng2/shu4
被除数 bei4/chu2/shu4
被告人 bei4/gao4/ren2
被加数 bei4/jia1/shu4
被减数 bei4/jian3/shu4
被劫持 bei4/jie2/chi2
被评为 bei4/ping2/wei4
被压迫 bei4/ya1/po4
被誉为 bei4/yu4/wei4
本报讯 ben3/bao4/xun4
本部门 ben3/bu4/men2
本单位 ben3/dan1/wei4
本地区 ben3/de/qu1
本科生 ben3/ke1/sheng1
本年度 ben3/nian2/du4
本世纪 ben3/shi4/ji4
本系统 ben3/xi4/tong3
本专业 ben3/zhuan1/ye4
苯甲酸 ben3/jia3/suan1
苯乙烯 ben3/yi3/xi1
比得上 bi3/de2/shang4
比较好 bi3/jiao4/hao3
比利时 bi3/li4/shi2
比例尺 bi3/li4/chi3
比如说 bi3/ru2/shuo1
彼得堡 bi3/de2/bao3
笔杆子 bi3/gan1/zi
笔记本 bi3/ji4/ben3
必然性 bi4/ran2/xing4
必修课 bi4/xiu1/ke4
必须品 bi4/xu1/pin3
必须有 bi4/xu1/you3
必需品 bi4/xu1/pin3
必要的 bi4/yao4/de
必要时 bi4/yao4/shi2
必要性 bi4/yao4/xing4
毕业班 bi4/ye4/ban1
毕业生 bi4/ye4/sheng1
闭门羹 bi4/men2/geng1
闭幕词 bi4/mu4/ci2
闭幕式 bi4/mu4/shi4
避风港 bi4/feng1/gang3
避雷针 bi4/lei2/zhen1
避免了 bi4/mian3/le
避难所 bi4/nan2/suo3
避孕药 bi4/yun4/yao4
边锋线 bian1/feng1/xian4
边界线 bian1/jie4/xian4
边线球 bian1/xian4/qiu2
编辑部 bian1/ji2/bu4
编委会 bian1/wei3/hui4
编者按 bian1/zhe3/an4
便携式 bian4/xie2/shi4
变电所 bian4/dian4/suo3
变电站 bian4/dian4/zhan4
变压器 bian4/ya1/qi4
